Date,Ticker,Entry_Price,Oracle_Score,Projected_Upside,Fair_Value,F_Score,Status,Safety_Badge,Momentum_Badge,Regime_Active
2026-01-04,BHARTIHEXA.NS,1802.1,25.9,-46.9,956.28,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BIKAJI.NS,735.6,29.1,-94.1,43.64,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BIOCON.NS,392.95,25.6,-49.3,199.08,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,BSOFT.NS,432.05,26.8,-30.7,299.21,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BLUEDART.NS,5593.5,32.4,-43.9,3137.76,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,BLUEJET.NS,531.1,1.5,-48.7,272.21,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BLUESTARCO.NS,1816.1,23.5,-86.9,237.83,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BBTC.NS,1880.9,65.9,129.4,4314.01,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,BOSCHLTD.NS,39420.0,48.0,-72.6,10795.54,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,FIRSTCRY.NS,289.8,12.8,0.0,,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BRIGADE.NS,890.45,23.5,-74.7,225.22,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,BRITANNIA.NS,5984.5,46.8,-77.4,1352.59,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,MAPMYINDIA.NS,1701.8,33.4,-89.4,180.3,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CCL.NS,915.7,33.9,-60.6,360.46,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CESC.NS,175.37,31.4,-52.2,83.84,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,CGPOWER.NS,649.1,21.5,-92.2,50.8,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CRISIL.NS,4458.6,23.2,-67.5,1447.21,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CAMPUS.NS,261.85,30.9,-66.0,89.14,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CANFINHOME.NS,940.4,54.7,5.9,995.95,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CANBK.NS,154.87,75.2,93.2,299.16,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CAPLIPOINT.NS,1848.8,9.7,-73.5,490.22,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CGCL.NS,185.22,17.3,-58.5,76.95,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,CARBORUNIV.NS,859.55,29.9,-97.5,21.6,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CASTROLIND.NS,191.5,23.6,-22.3,148.81,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CEATLTD.NS,3887.2,29.8,-85.4,569.21,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,CENTRALBK.NS,38.77,50.6,73.4,67.25,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CDSL.NS,1466.6,11.1,-73.4,389.85,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CENTURYPLY.NS,824.1,35.5,-84.3,129.05,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,CERA.NS,5258.0,31.9,-78.8,1112.6,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,CHALET.NS,902.5,40.8,-88.8,100.83,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CHAMBLFERT.NS,479.9,21.5,-33.9,316.99,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,CHENNPETRO.NS,827.2,18.3,-16.2,692.86,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,CHOICEIN.NS,850.3,42.0,-86.7,113.0,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,CHOLAHLDNG.NS,1872.5,23.5,-4.4,1790.92,5,Active,⚠️ MED,🐢 SLOW,BULLISH
